stop_code;stop_name;stop_desc;stop_lat;stop_lon;zone_id;wheelchair_boarding
19944;CTRA.M300-URB.LOS HUEROS;Calle   Joaquín Sorolla 12;40.4487365795904;-3.3549931107524;C1;0
20692;MARIANO J. DE LARRA-SUPERMERCADO;Calle   Mariano José de Larra 29;40.4452116809208;-3.36157802598121;C1;0
20696;AV.M.DE CERVANTES-PARQUE DEL LAGO;Avda de Miguel de Cervantes 64;40.4428779471421;-3.35881810459271;C1;0
20698;AV.M.DE CERVANTES-RAMÓN G.DE LA SERNA;Avda de Miguel de Cervantes 74;40.4401886951817;-3.36028947384396;C1;0
20700;AV.M.DE CERVANTES-GABRIEL G. MÁRQUEZ;Avda de Miguel de Cervantes 74;40.4379017917252;-3.36272971372437;C1;0
20702;GABRIEL G. MÁRQUEZ-AV.ANTIGUOS BAÑOS DE LA ISABELA;Calle   Gabriel García Márquez 21;40.4392054049001;-3.36643904497252;C1;0
20703;AV.MADRID-CENTRO DE SALUD;Avda   Madrid 1;40.4504577095624;-3.37483767372948;C1;0
20766;AV.MADRID-CENTRO DE SALUD;Avda   Madrid 1;40.4501128870984;-3.37560228640339;C1;0
07114;AV.CONSTITUCIÓN-POLICÍA MUNICIPAL;Avda de la Constitución 106;40.4271255098429;-3.55586519618827;B1;1
07122;VENEZUELA-ARGENTINA;Calle   Venezuela 21;40.4265702176841;-3.53996960749105;B1;1
07171;AV.CONSTITUCIÓN-POLICÍA MUNICIPAL;Avda de la Constitución 106 A;40.4270051643999;-3.55466176187112;B1;1
244;HNOS.GARCIA NOBLEJAS-LUIS CAMPOS;Calle de los Hermanos García Noblejas 70;40.4292927551715;-3.63202850366755;A;0
245;HNOS.GARCIA NOBLEJAS-VALDECANILLAS;Calle de los Hermanos García Noblejas 51;40.4295014965517;-3.63174752017236;A;0
248;INSTITUCIÓN LIBRE DE ENSEÑANZA-GANDHI;Calle  Institución Libre de Enseñanza 77;40.4264683979467;-3.62956183600389;A;0
250;INSTITUCIÓN LIBRE ENSEÑANZA-CENTRO SALUD;Calle   Institución Libre de Enseñanza 160;40.4237292073581;-3.62799205996174;A;0
252;INSTITUCIÓN LIBRE ENSEÑANZA-CENTRO SALUD;Calle   Institución Libre de Enseñanza 160;40.4239467555317;-3.62774653306115;A;0
4230;HNOS.GARCIA NOBLEJAS-PZA.DE ALSACIA;Calle de los Hermanos García Noblejas 196;40.4184256098419;-3.62417085700159;A;0
4395;FUENTE CARRANTONA-DR.GARCIA TAPIA;Calle de la Fuente Carrantona 32;40.4083451124097;-3.63071288661836;A;0
4396;FUENTE CARRANTONA-PASAJE DE ORUSCO;Calle de la Fuente Carrantona 41;40.4083523204275;-3.63104294455693;A;0
4549;AV.DAROCA-CALAHORRA;Avda de Daroca 319;40.4065208088935;-3.61312432620402;A;0
4708;HNOS.GARCIA NOBLEJAS-GANDHI;Calle de los Hermanos García Noblejas 128;40.4258200437122;-3.62950863686723;A;0
5747;PZA.DE ALSACIA;Plaza de Alsacia 1;40.4177640033846;-3.62323356759784;A;0
15869;AV.ALMENDROS-PºCHOPERA;Avda de los Almendros 188;40.3693580627441;-3.53134489059448;B1;1
15876;AV.JOSÉ HIERRO-AZALEA;Avda de José Hierro 16;40.356029510498;-3.53927159309387;B1;1
16056;AV.JOSÉ HIERRO-ROSA CHACEL;Avda de José Hierro 36;40.3505401611328;-3.53464722633362;B1;1
16716;AV.JOSÉ HIERRO-JOSÉ SARAMAGO;Avda de José Hierro 34;40.3526382446289;-3.53685402870178;B1;1
